id,population_sum,density_p_per_km2
AUT,8550398.0,101.85372728402749
BEL,11290243.0,368.189890721457
BGR,7110321.5,64.06343688688534
HRV,4152738.25,73.37036653611274
CYP,1151400.75,124.48776073293165
CZE,10549823.0,133.7630000518006
DNK,5601371.5,129.73715714175444
EST,1307637.625,28.843625344006515
FIN,5465821.0,16.189416321033104
FRA,64142756.0,116.81812870296595
DEU,80718752.0,225.63695931345904
GRC,10712526.0,81.31821432281053
HUN,9853462.0,105.93642018168967
IRL,4645687.0,66.4080436229069
ITA,59326524.0,197.34703445405225
LVA,1968606.75,30.47556409467691
LTU,2872798.25,44.26416940140446
LUX,564011.9375,217.34098269596402
NLD,16901038.0,452.21429211468006
POL,38580336.0,123.67786998047622
PRT,9849552.0,110.85969831429799
ROU,19510784.0,81.85286596897119
SVK,5423634.5,110.62403328885577
SVN,2088263.125,103.00418007863833
ESP,43461340.0,87.17896114100328
SWE,9650957.0,21.467396777823907
GBR,64449656.0,263.4689975572945
ALB,2889701.25,100.56231819486278
BIH,3813526.75,74.67422118011805
MKD,2078755.25,83.73599596004307
MNE,615752.1875,46.17449957633877
NOR,5018157.5,15.534912115596754
SRB,6975589.0,89.16582399447819
CHE,8251062.0,199.84487546104558
